,State,County Code,Latitude,Longitude
520,12,105,27.986283,-82.78215
521,12,103,26.456944,-80.092778
522,12,099,28.596389,-81.3625
523,12,095,25.941944,-80.326389
524,12,086,30.439722,-84.346389
525,12,073,26.602016,-81.877908
526,12,071,27.96565,-82.2304
527,12,057,30.525367,-87.20355
528,12,033,30.354722,-81.547778
529,12,031,28.980556,-82.644381
530,12,017,26.294167,-80.176389
531,12,011,28.053611,-80.628611
532,12,009,29.658578,-82.408162
533,12,001,38.921847,-77.013178
534,11,001,38.6539,-75.6106
535,10,005,39.739444,-75.558056
536,10,003,39.155,-75.518056
537,10,001,41.524167,-72.076667
538,09,011,41.3014,-72.902871
539,09,009,41.64486,-73.07908
540,09,005,41.7425,-72.634444
541,09,003,41.118333,-73.336667
542,09,001,40.209387,-104.82405
543,08,123,40.086944,-108.761389
544,08,103,38.276099,-104.597613
545,08,101,37.350054,-108.592334
546,08,083,39.063798,-108.561173
547,08,077,40.571288,-105.079693
548,08,069,37.10258,-107.870219
549,08,067,38.848014,-104.828564
550,08,041,39.231384,-104.63477
551,08,039,39.534488,-105.070358
552,08,035,39.704005,-104.998113
553,08,031,40.021097,-105.263382
554,08,013,39.604399,-105.019526
555,08,005,39.826007,-104.937438
556,08,001,38.66121,-121.73269
557,06,113,34.25239,-119.143182
558,06,111,36.332179,-119.291228
559,06,107,39.138773,-121.618549
560,06,101,37.488317,-120.836008
561,06,099,38.443503,-122.710169
562,06,097,38.102507,-122.237976
563,06,095,41.726892,-122.633579
564,06,093,40.69184,-122.40179
565,06,089,36.98332,-121.98822
566,06,087,37.348497,-121.894898
567,06,085,34.427775,-119.691218
568,06,083,37.482934,-122.20337
569,06,081,35.25651,-120.6693
570,06,079,37.950741,-121.268523
571,06,077,37.765946,-122.399044
572,06,075,33.362593,-117.09023
573,06,073,34.106678,-117.274063
574,06,071,36.843425,-121.3621
575,06,069,38.556326,-121.458499
576,06,067,33.99636,-117.4924
577,06,065,39.808333,-120.471667
578,06,063,38.74643,-121.26498
579,06,061,33.83062,-117.93845
580,06,059,39.32783,-120.184592
581,06,057,36.694261,-121.623271
582,06,053,37.30832,-120.480456
583,06,047,39.41174,-123.35264
584,06,045,37.97231,-122.520004
585,06,041,36.953256,-120.034203
586,06,039,33.901389,-118.205
587,06,037,39.0327,-122.92229
588,06,033,36.102244,-119.56565
589,06,031,35.324636,-118.997627
590,06,029,36.487823,-117.871036
591,06,027,32.97833,-115.53917
592,06,025,40.77678,-124.17949
593,06,023,36.634225,-120.382331
594,06,019,37.936013,-122.026154
595,06,013,39.18919,-121.99887
596,06,011,38.20185,-120.680277
