State,County Code
State: 12,County code: 105
State: 12,County code: 103
State: 12,County code: 099
State: 12,County code: 095
State: 12,County code: 086
State: 12,County code: 073
State: 12,County code: 071
State: 12,County code: 057
State: 12,County code: 033
State: 12,County code: 031
State: 12,County code: 017
State: 12,County code: 011
State: 12,County code: 009
State: 12,County code: 001
State: 11,County code: 001
State: 10,County code: 005
State: 10,County code: 003
State: 10,County code: 001
State: 09,County code: 011
State: 09,County code: 009
State: 09,County code: 005
State: 09,County code: 003
State: 09,County code: 001
State: 08,County code: 123
State: 08,County code: 103
State: 08,County code: 101
State: 08,County code: 083
State: 08,County code: 077
State: 08,County code: 069
State: 08,County code: 067
State: 08,County code: 041
State: 08,County code: 039
State: 08,County code: 035
State: 08,County code: 031
State: 08,County code: 013
State: 08,County code: 005
State: 08,County code: 001
State: 06,County code: 113
State: 06,County code: 111
State: 06,County code: 107
State: 06,County code: 101
State: 06,County code: 099
State: 06,County code: 097
State: 06,County code: 095
State: 06,County code: 093
State: 06,County code: 089
State: 06,County code: 087
State: 06,County code: 085
State: 06,County code: 083
State: 06,County code: 081
State: 06,County code: 079
State: 06,County code: 077
State: 06,County code: 075
State: 06,County code: 073
State: 06,County code: 071
State: 06,County code: 069
State: 06,County code: 067
State: 06,County code: 065
State: 06,County code: 063
State: 06,County code: 061
State: 06,County code: 059
State: 06,County code: 057
State: 06,County code: 053
State: 06,County code: 047
State: 06,County code: 045
State: 06,County code: 041
State: 06,County code: 039
State: 06,County code: 037
State: 06,County code: 033
State: 06,County code: 031
State: 06,County code: 029
State: 06,County code: 027
State: 06,County code: 025
State: 06,County code: 023
State: 06,County code: 019
State: 06,County code: 013
State: 06,County code: 011
State: 06,County code: 009
State: 06,County code: 007
State: 06,County code: 001
State: 05,County code: 145
State: 05,County code: 143
State: 05,County code: 139
State: 05,County code: 131
State: 05,County code: 119
State: 05,County code: 115
State: 05,County code: 113
State: 05,County code: 107
State: 05,County code: 067
State: 05,County code: 051
State: 05,County code: 045
State: 05,County code: 035
State: 05,County code: 003
State: 05,County code: 001
State: 04,County code: 027
State: 04,County code: 025
State: 04,County code: 023
State: 04,County code: 021
State: 04,County code: 019
State: 04,County code: 013
State: 04,County code: 005
State: 04,County code: 003
State: 04,County code: 001
State: 02,County code: 170
State: 02,County code: 110
State: 02,County code: 090
State: 02,County code: 020
State: 01,County code: 127
State: 01,County code: 125
State: 01,County code: 121
State: 01,County code: 117
State: 01,County code: 113
State: 01,County code: 103
State: 01,County code: 101
State: 01,County code: 097
State: 01,County code: 089
State: 01,County code: 073
State: 01,County code: 069
State: 01,County code: 055
State: 01,County code: 049
State: 01,County code: 033
State: 01,County code: 027
State: 01,County code: 003
